#{"t_start": 1765725402.6071446, "env_id": "Reacher-v5"}
r,l,t
-2.272776,50,872.911907
-1.605316,50,873.857258
-1.253626,50,874.779057
-1.356916,50,875.668879
-1.235923,50,876.727395
-1.865189,50,877.647486
-1.337465,50,878.624199
-1.245723,50,879.578929
-2.364721,50,880.436525
-1.0824,50,881.382531
-1.903595,50,882.241433
-1.898768,50,883.318386
-1.577643,50,884.191751
-1.571375,50,885.514504
-1.649248,50,886.544769
-1.841124,50,887.468858
-2.107295,50,888.347572
-1.154805,50,889.321903
-1.577129,50,890.202945
-1.439658,50,891.087043
-1.599611,50,891.979995
-1.682649,50,892.884551
-1.31397,50,893.740415
-1.709644,50,894.649063
-1.468613,50,895.514871
-1.603801,50,896.764738
-2.607549,50,897.652471
-1.475986,50,898.588499
-2.496403,50,899.743528
-2.385067,50,900.672598
-1.426349,50,901.566281
-0.845885,50,902.566554
-1.281049,50,903.542087
-0.94028,50,904.524008
-1.8193,50,905.544714
-1.578501,50,906.574994
-1.348418,50,907.47717
-3.421709,50,909.140383
-1.431353,50,910.076035
-1.817128,50,911.0611
-1.280544,50,911.968087
-1.977291,50,912.916048
-1.632551,50,913.889982
-1.219816,50,914.866351
-1.858224,50,916.015824
-1.710214,50,917.15808
-1.80463,50,918.581423
-2.457889,50,919.706012
-1.869044,50,921.134928
-1.623836,50,924.786299
-1.655338,50,925.946009
-1.696135,50,927.023889
-1.794668,50,928.001537
-1.450699,50,928.919043
-1.156567,50,929.968974
-1.880336,50,930.864264
-1.679817,50,931.812341
-1.964246,50,932.874558
-2.136121,50,933.733173
-2.211533,50,934.864733
-1.77875,50,935.833167
-1.258509,50,936.945252
-1.597852,50,937.801508
-1.833668,50,938.636877
-1.374477,50,939.513317
-2.099163,50,940.565802
-1.883655,50,941.43898
-2.038788,50,942.397119
-1.272991,50,943.201945
-1.696934,50,944.569825
-2.177608,50,945.624904
-1.844595,50,946.561724
-1.633449,50,947.580421
-1.382653,50,948.699146
-2.034591,50,949.814692
-1.088137,50,950.994708
