#{"t_start": 1765929090.221403, "env_id": "Reacher-v5"}
r,l,t
106.1956,50,80.699238
243.905034,50,80.826346
311.549769,50,80.95601
189.103651,50,81.082967
191.102933,50,81.210483
212.424935,50,81.337583
273.433772,50,81.466958
270.830389,50,81.594116
283.820837,50,81.721481
131.57735,50,81.848849
254.207031,50,81.978238
275.870437,50,82.105748
155.248259,50,82.233224
399.363692,50,82.36241
103.667278,50,82.492699
90.384681,50,82.620584
222.271736,50,82.748119
321.726287,50,82.875314
281.669541,50,83.005456
159.898573,50,83.133601
148.494656,50,83.261178
218.071499,50,83.388906
298.909503,50,83.518647
230.787046,50,83.646537
89.21506,50,83.774071
247.218554,50,83.901739
206.001318,50,84.031546
304.357083,50,84.159236
287.993373,50,84.286682
356.936015,50,84.414258
275.610276,50,84.543648
361.836864,50,84.671299
356.480995,50,84.798487
206.56172,50,84.925588
272.068392,50,85.054995
277.934464,50,85.182207
182.250714,50,85.308965
186.182909,50,85.436315
338.049615,50,85.566083
196.454579,50,85.693424
135.096659,50,85.821308
122.863619,50,85.948527
119.600643,50,86.078047
366.59034,50,86.205575
166.800551,50,86.332663
204.955594,50,86.459568
172.641866,50,86.589271
314.870705,50,86.716555
339.252042,50,86.843694
261.615449,50,86.970801
294.247578,50,87.10037
188.310592,50,87.227648
98.122005,50,87.355156
351.636706,50,87.482624
292.739392,50,87.612556
228.633456,50,87.740187
224.395607,50,87.867581
94.899299,50,87.995142
273.812249,50,88.124849
138.650083,50,88.252697
226.657415,50,88.379993
153.917512,50,88.507713
77.518162,50,88.637862
156.270448,50,88.764995
182.24919,50,88.891929
56.486809,50,89.0193
72.472898,50,89.151053
189.624282,50,89.278259
306.154916,50,89.405791
300.161787,50,89.533366
228.108061,50,89.663347
337.161728,50,89.791101
69.737635,50,89.918316
40.697745,50,90.045685
36.10949,50,90.175217
399.394774,50,90.302683
210.690304,50,90.430201
253.765944,50,90.557515
71.93455,50,90.686589
335.136051,50,90.814279
69.90731,50,90.941977
33.687944,50,91.0696
158.957996,50,91.19906
318.700549,50,91.326667
368.06386,50,91.454413
177.143825,50,91.58205
328.934262,50,91.71211
307.530859,50,91.840128
199.098034,50,91.967648
225.805186,50,92.095127
103.27792,50,92.224972
309.482028,50,92.352552
131.047775,50,92.480006
245.293643,50,92.607552
301.006231,50,92.737536
362.180815,50,92.865307
294.006719,50,92.992796
336.081097,50,93.120211
259.673611,50,93.250737
37.814212,50,93.37822
285.819566,50,93.505777
38.050841,50,93.633266
138.006178,50,93.763184
52.567752,50,93.891042
393.012507,50,94.018549
222.914482,50,94.145635
244.018754,50,94.275319
225.892285,50,94.402732
247.26779,50,94.52958
15.763456,50,94.656936
116.957245,50,94.786606
318.056738,50,94.913891
358.038744,50,95.041305
238.78664,50,95.168223
145.847528,50,95.29745
219.216624,50,95.424584
301.750971,50,95.551536
364.875465,50,95.678698
320.362328,50,95.808757
236.22756,50,95.936253
308.137676,50,96.062597
225.864103,50,96.188815
75.664051,50,96.317908
114.226303,50,96.445322
66.507967,50,96.572584
412.729483,50,96.700079
209.756923,50,96.829931
62.303249,50,96.957659
194.478752,50,97.08519
27.81533,50,97.218194
328.263022,50,97.355479
21.581533,50,97.483393
203.950223,50,97.610573
281.711402,50,97.737763
50.941883,50,97.867498
286.297951,50,97.99452
289.122911,50,98.121995
242.722125,50,98.248852
278.126156,50,98.378074
311.537339,50,98.505259
92.251206,50,98.632412
347.347185,50,98.760054
247.098956,50,98.88965
309.842021,50,99.017056
303.378568,50,99.144563
37.63042,50,99.271667
201.674245,50,99.40115
386.359887,50,99.528558
275.847973,50,99.655798
290.967918,50,99.782906
150.903918,50,99.912414
41.61573,50,100.039934
293.794355,50,100.167226
221.2065,50,100.294276
91.668543,50,100.423722
181.255229,50,100.551165
279.774105,50,100.678658
258.494816,50,100.805702
287.869526,50,100.935405
304.30635,50,101.063134
187.277862,50,101.190425
383.459276,50,101.317631
214.871645,50,101.447329
153.710385,50,101.575254
137.177708,50,101.702906
264.369678,50,101.832085
31.788595,50,101.962118
57.357931,50,102.089933
137.339324,50,102.21739
304.592211,50,102.344855
277.920457,50,102.474876
282.995588,50,102.602463
103.513441,50,102.729651
47.97086,50,102.857176
202.611707,50,102.986776
227.448589,50,103.113815
82.195267,50,103.24106
350.545358,50,103.367992
162.506341,50,103.49823
391.054343,50,103.6259
262.676144,50,103.753015
265.666238,50,103.879986
266.781696,50,104.010134
400.554282,50,104.13774
111.831834,50,104.265038
336.550789,50,104.392314
305.164849,50,104.522406
251.008252,50,104.65013
117.149155,50,104.777558
162.500485,50,104.905221
230.508223,50,105.037903
192.621332,50,105.165411
267.141489,50,105.293104
422.061654,50,105.421049
80.036157,50,105.550974
257.876501,50,105.67888
279.663049,50,105.806772
124.494622,50,105.934646
295.51269,50,106.064315
304.807023,50,106.191262
85.723148,50,106.318434
322.58477,50,106.445507
168.130545,50,106.574997
260.665203,50,106.702412
162.740579,50,106.82947
55.999011,50,106.956834
225.342238,50,107.086173
374.860389,50,107.21356
304.734937,50,107.341076
242.5858,50,107.468758
323.055062,50,107.598308
331.596172,50,107.725825
238.817207,50,107.853294
242.06151,50,107.980617
329.082194,50,108.109932
360.586616,50,108.236998
292.819775,50,108.364574
